,Tree Type,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound
0,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.90502500534,"(4, 0)",65
1,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.441206216812,"(2, 5)",65
2,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.693588018417,"(5, 1)",65
3,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.336118936539,"(3, 4)",68
4,symmetric,None,Gurobi,64,192,8,unbounded,16,85.42449808120728,"(2, 1)",65
5,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.017711877823,"(6, 1)",65
6,symmetric,None,Gurobi,64,192,8,unbounded,16,51.34191679954529,"(0, 7)",64
7,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.029605865479,"(6, 0)",67
8,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.607126951218,"(6, 3)",67
9,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.258170127869,"(7, 3)",71
10,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.039034843445,"(3, 5)",67
11,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.396389961243,"(4, 6)",67
12,symmetric,None,Gurobi,64,192,8,unbounded,16,19.23199701309204,"(2, 7)",65
13,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.404502868652,"(1, 3)",67
14,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.057058095932,"(7, 6)",71
15,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.26005601883,"(5, 0)",68
16,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.075869083405,"(7, 5)",71
17,symmetric,None,Gurobi,64,192,8,unbounded,16,16.914319038391113,"(7, 1)",64
18,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.256098985672,"(2, 2)",65
19,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.132292032242,"(5, 4)",68
20,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.080279111862,"(1, 1)",71
21,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.130419015884,"(6, 5)",70
22,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.029006958008,"(0, 2)",71
23,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.289832830429,"(6, 6)",73
24,symmetric,None,Gurobi,64,192,8,unbounded,16,9.54761290550232,"(4, 2)",64
25,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.042495965958,"(1, 0)",75
26,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.186450004578,"(2, 6)",65
27,symmetric,None,Gurobi,64,192,8,unbounded,16,10.503458976745605,"(2, 3)",64
28,symmetric,None,Gurobi,64,192,8,unbounded,16,1340.2493710517883,"(1, 4)",65
29,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.0288271904,"(3, 3)",74
30,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.047363042831,"(5, 5)",78
31,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.27446103096,"(7, 4)",72
32,symmetric,None,Gurobi,64,192,8,unbounded,16,10800.032674074173,"(3, 0)",66
33,symmetric,None,Gurobi,64,192,8,unbounded,16,21600.04510116577,"(0, 0)",97
34,symmetric,None,Gurobi,64,192,8,unbounded,16,21600.0585398674,"(7, 7)",87
35,symmetric,None,Gurobi,64,192,8,unbounded,16,21600.464184999466,"(4, 4)",69
