,0,1
0,"(7, 1)","(3, 1)"
1,"(7, 2)","(7, 0)"
2,"(7, 3)","(7, 1)"
3,"(7, 7)","(6, 7)"
4,"(7, 4)","(7, 2)"
5,"(3, 6)","(1, 6)"
6,"(7, 3)","(7, 6)"
7,"(7, 0)","(5, 0)"
8,"(7, 2)","(5, 2)"
9,"(3, 6)","(3, 5)"
10,"(3, 1)","(6, 1)"
11,"(7, 3)","(6, 3)"
12,"(3, 1)","(1, 1)"
13,"(7, 0)","(6, 0)"
14,"(6, 3)","(6, 6)"
15,"(7, 4)","(7, 7)"
16,"(3, 0)","(3, 2)"
17,"(7, 0)","(3, 0)"
18,"(7, 1)","(5, 1)"
19,"(5, 2)","(6, 2)"
20,"(7, 6)","(3, 6)"
21,"(4, 4)","(4, 5)"
22,"(7, 4)","(7, 5)"
23,"(7, 4)","(7, 3)"
24,"(3, 0)","(1, 0)"
25,"(4, 4)","(7, 4)"
