,0,1
0,"('2', '7')","('1', '7')"
1,"('4', '6')","('6', '6')"
2,"('4', '6')","('5', '6')"
3,"('4', '7')","('2', '7')"
4,"('0', '1')","('1', '1')"
5,"('4', '7')","('5', '7')"
6,"('2', '3')","('0', '3')"
7,"('0', '6')","('0', '7')"
8,"('4', '4')","('3', '4')"
9,"('0', '3')","('0', '1')"
10,"('4', '3')","('4', '4')"
11,"('6', '6')","('6', '2')"
12,"('0', '5')","('0', '6')"
13,"('6', '3')","('6', '7')"
14,"('6', '3')","('6', '5')"
15,"('6', '7')","('7', '7')"
16,"('0', '0')","('0', '2')"
17,"('0', '3')","('0', '6')"
18,"('0', '3')","('0', '7')"
19,"('4', '3')","('4', '7')"
20,"('2', '3')","('2', '6')"
21,"('0', '1')","('0', '0')"
22,"('6', '3')","('6', '1')"
23,"('4', '6')","('7', '6')"
24,"('4', '3')","('5', '3')"
25,"('4', '1')","('4', '3')"
26,"('4', '3')","('4', '6')"
27,"('6', '2')","('6', '0')"
28,"('4', '3')","('2', '3')"
29,"('0', '0')","('2', '0')"
30,"('0', '0')","('0', '1')"
31,"('0', '3')","('0', '5')"
32,"('4', '3')","('6', '3')"
