,0,1
0,"(0, 0)","(0, 1)"
1,"(0, 1)","(1, 1)"
2,"(0, 1)","(0, 3)"
3,"(0, 3)","(2, 3)"
4,"(0, 3)","(0, 4)"
5,"(0, 3)","(0, 5)"
6,"(0, 3)","(0, 6)"
7,"(0, 3)","(0, 7)"
8,"(0, 4)","(1, 4)"
9,"(0, 5)","(1, 5)"
10,"(0, 6)","(1, 6)"
11,"(0, 7)","(1, 7)"
12,"(2, 3)","(6, 3)"
13,"(2, 3)","(2, 4)"
14,"(2, 3)","(2, 5)"
15,"(2, 3)","(2, 6)"
16,"(2, 7)","(2, 3)"
17,"(2, 3)","(2, 7)"
18,"(2, 4)","(4, 4)"
19,"(2, 4)","(5, 4)"
20,"(2, 5)","(4, 5)"
21,"(2, 5)","(5, 5)"
22,"(2, 5)","(6, 5)"
23,"(2, 7)","(4, 7)"
24,"(2, 7)","(5, 7)"
25,"(2, 7)","(6, 7)"
26,"(3, 3)","(3, 1)"
27,"(6, 3)","(3, 3)"
28,"(4, 4)","(3, 4)"
29,"(4, 7)","(3, 7)"
30,"(4, 4)","(4, 2)"
31,"(5, 5)","(5, 2)"
32,"(6, 3)","(7, 3)"
33,"(6, 3)","(6, 6)"
34,"(6, 7)","(7, 7)"
35,"(7, 3)","(7, 1)"
36,"(7, 3)","(7, 6)"
