,0,1
0,"(4, 4)","(4, 7)"
1,"(7, 4)","(6, 4)"
2,"(5, 4)","(5, 7)"
3,"(5, 4)","(7, 4)"
4,"(5, 2)","(5, 4)"
5,"(5, 6)","(7, 6)"
6,"(5, 2)","(5, 6)"
7,"(2, 6)","(6, 6)"
8,"(2, 2)","(2, 6)"
9,"(5, 2)","(7, 2)"
10,"(2, 7)","(6, 7)"
11,"(0, 0)","(2, 0)"
12,"(2, 0)","(2, 1)"
13,"(2, 0)","(2, 2)"
14,"(2, 4)","(4, 4)"
15,"(2, 2)","(6, 2)"
16,"(2, 2)","(4, 2)"
17,"(2, 2)","(5, 2)"
18,"(2, 2)","(2, 4)"
19,"(7, 5)","(7, 7)"
20,"(2, 1)","(4, 1)"
21,"(4, 1)","(7, 1)"
22,"(2, 4)","(2, 7)"
23,"(5, 2)","(3, 2)"
24,"(7, 5)","(4, 5)"
25,"(4, 5)","(4, 3)"
26,"(2, 4)","(0, 4)"
27,"(5, 5)","(7, 5)"
28,"(5, 2)","(5, 5)"
29,"(7, 5)","(3, 5)"
30,"(2, 1)","(6, 1)"
31,"(6, 2)","(6, 5)"
