,0,1
0,"(7, 4)","(7, 3)"
1,"(6, 4)","(6, 7)"
2,"(6, 4)","(7, 4)"
3,"(6, 2)","(6, 4)"
4,"(6, 4)","(3, 4)"
5,"(5, 2)","(5, 4)"
6,"(5, 4)","(5, 3)"
7,"(5, 2)","(5, 6)"
8,"(6, 5)","(2, 5)"
9,"(6, 7)","(7, 7)"
10,"(0, 0)","(2, 0)"
11,"(2, 0)","(6, 0)"
12,"(2, 0)","(5, 0)"
13,"(2, 0)","(2, 2)"
14,"(6, 6)","(7, 6)"
15,"(7, 4)","(4, 4)"
16,"(6, 5)","(6, 3)"
17,"(2, 2)","(6, 2)"
18,"(5, 5)","(5, 7)"
19,"(6, 2)","(6, 6)"
20,"(5, 0)","(5, 2)"
21,"(5, 2)","(5, 5)"
22,"(6, 0)","(6, 2)"
23,"(6, 5)","(7, 5)"
24,"(6, 2)","(6, 5)"
25,"(6, 5)","(3, 5)"
