,0,1
0,"(0, 0)","(0, 2)"
1,"(0, 2)","(2, 2)"
2,"(0, 2)","(0, 5)"
3,"(2, 2)","(5, 2)"
4,"(2, 2)","(6, 2)"
5,"(2, 2)","(2, 4)"
6,"(2, 2)","(2, 5)"
7,"(2, 2)","(2, 6)"
8,"(2, 4)","(6, 4)"
9,"(2, 5)","(4, 5)"
10,"(2, 5)","(6, 5)"
11,"(2, 6)","(4, 6)"
12,"(2, 6)","(5, 6)"
13,"(2, 6)","(6, 6)"
14,"(2, 6)","(2, 7)"
15,"(6, 5)","(3, 5)"
16,"(7, 6)","(3, 6)"
17,"(5, 2)","(5, 4)"
18,"(5, 2)","(5, 5)"
19,"(5, 3)","(7, 3)"
20,"(5, 4)","(5, 3)"
21,"(5, 4)","(7, 4)"
22,"(5, 5)","(7, 5)"
23,"(5, 5)","(5, 7)"
24,"(5, 6)","(7, 6)"
25,"(6, 6)","(6, 3)"
26,"(6, 5)","(6, 7)"
27,"(7, 6)","(7, 7)"
