,0,1
0,"(0, 0)","(2, 0)"
1,"(2, 0)","(2, 2)"
2,"(2, 2)","(2, 4)"
3,"(2, 2)","(2, 6)"
4,"(2, 2)","(4, 2)"
5,"(2, 2)","(5, 2)"
6,"(2, 2)","(6, 2)"
7,"(5, 2)","(5, 4)"
8,"(5, 2)","(5, 5)"
9,"(5, 2)","(5, 6)"
10,"(5, 2)","(7, 2)"
11,"(7, 2)","(7, 6)"
12,"(3, 7)","(3, 3)"
13,"(5, 4)","(5, 3)"
14,"(6, 4)","(6, 3)"
15,"(3, 4)","(4, 4)"
16,"(5, 4)","(3, 4)"
17,"(3, 4)","(6, 4)"
18,"(5, 4)","(7, 4)"
19,"(7, 4)","(7, 7)"
20,"(3, 7)","(3, 5)"
21,"(4, 5)","(4, 7)"
22,"(7, 5)","(4, 5)"
23,"(5, 5)","(7, 5)"
24,"(7, 5)","(6, 5)"
25,"(6, 6)","(3, 6)"
26,"(5, 6)","(5, 7)"
27,"(7, 6)","(6, 6)"
28,"(5, 7)","(3, 7)"
