,0,1
0,"(0, 0)","(0, 2)"
1,"(0, 2)","(2, 2)"
2,"(3, 5)","(1, 5)"
3,"(2, 2)","(5, 2)"
4,"(2, 2)","(2, 6)"
5,"(2, 6)","(4, 6)"
6,"(2, 6)","(5, 6)"
7,"(2, 6)","(6, 6)"
8,"(2, 6)","(2, 7)"
9,"(2, 7)","(6, 7)"
10,"(3, 4)","(3, 3)"
11,"(5, 4)","(3, 4)"
12,"(5, 5)","(3, 5)"
13,"(5, 7)","(3, 7)"
14,"(4, 6)","(4, 3)"
15,"(4, 6)","(7, 6)"
16,"(4, 6)","(4, 7)"
17,"(4, 7)","(7, 7)"
18,"(5, 2)","(5, 4)"
19,"(5, 2)","(5, 5)"
20,"(5, 4)","(5, 3)"
21,"(5, 6)","(5, 7)"
22,"(7, 6)","(7, 2)"
23,"(7, 3)","(7, 4)"
24,"(7, 6)","(7, 3)"
25,"(7, 7)","(7, 5)"
